name,point,ci_low,ci_high
"primary (union, 800 m, 50 m, IMD)",0.2882364638893709,0.1505967937781407,0.5873237549828236
#1 source: google_only,0.2802668575992897,0.1506514952397635,0.5702757507717958
#1 source: osm_only,0.7462979570093127,0.0582833884443286,4.75174308004719
#1 source: intersection,0.8498070729819653,0.2826413058147723,2.9661309937938127
#2 buffer: 400 m,0.2384043953724576,0.1309241282491975,0.4352775547362763
#2 buffer: 1600 m,0.3439031354956925,0.1895794343816439,0.6178666002283502
#4 deprivation: IDACI,0.2277844102721979,0.1336902854010058,0.4614667554338257
#6 route buffer: 100 m,0.3654620316451843,0.1845119909682809,0.7020354083659602
#7 schools with >=1 salon,0.2841268527563077,0.1399122355915051,0.6040728146250333
#3 catchment: k=3 IDW,0.3331020653390643,,
#5 caps low (1.5/3.75/3.75 km),0.3325470812564362,,
#5 caps high (2.5/6.25/6.25 km),0.2972330291678642,,
#9 OA21 origin geometry,0.3756181908244797,,
